City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
322,Manggar,ID,77.47,overcast clouds,-2.8833,108.2667,
326,Buala,SB,82.04,light rain,-8.145,159.5921,
327,Lukaya,UG,71.65,light rain,-0.1489,31.8748,
329,Moerai,PF,77.54,light rain,-22.4333,-151.3333,
330,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,
331,Magnolia,US,78.48,broken clouds,33.2671,-93.2393,
332,Taquari,BR,85.32,overcast clouds,-29.7997,-51.8644,
334,Kuraymah,SD,76.93,clear sky,18.55,31.85,
343,Porbandar,IN,74.19,clear sky,21.6422,69.6093,
345,Sao Jose Da Coroa Grande,BR,78.89,heavy intensity rain,-8.8978,-35.1478,
346,Nuevo Progreso,MX,87.6,clear sky,23.1667,-97.95,
347,Dom Pedrito,BR,78.96,overcast clouds,-30.9828,-54.6731,
349,Reserva,BR,75.9,broken clouds,-24.6503,-50.8506,
351,Dillon,US,74.25,overcast clouds,34.4166,-79.3712,
353,Morant Bay,JM,80.65,overcast clouds,17.8815,-76.4093,
355,Dwarka,IN,75.16,clear sky,22.2394,68.9678,
356,Pattaya,TH,75.87,overcast clouds,12.9333,100.8833,
357,Bac Lieu,VN,68.47,broken clouds,9.285,105.7244,
358,Bharthana,IN,65.21,clear sky,26.7571,79.2248,
362,Inirida,CO,77.61,overcast clouds,3.8653,-67.9239,
363,Chimore,BO,83.19,light rain,-16.9833,-65.1333,
365,Guerrero Negro,MX,69.03,overcast clouds,27.9769,-114.0611,
366,Acapulco,MX,85.82,clear sky,16.8634,-99.8901,
367,Mpika,ZM,69.53,scattered clouds,-11.8343,31.4529,
368,Agadez,NE,65.84,broken clouds,19.75,10.25,
375,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,
377,Vangaindrano,MG,74.07,scattered clouds,-23.35,47.6,
378,Chabahar,IR,75.02,clear sky,25.2919,60.643,
381,Abancay,PE,69.98,overcast clouds,-13.6339,-72.8814,
383,Safaga,EG,72.95,overcast clouds,26.7292,33.9365,
384,Celestun,MX,79.65,scattered clouds,20.8667,-90.4,
388,Lorengau,PG,83.86,heavy intensity rain,-2.0226,147.2712,
391,Ndende,GA,75.42,overcast clouds,-2.4008,11.3581,
395,Sao Felix Do Xingu,BR,76.91,overcast clouds,-6.6447,-51.995,
399,Sassandra,CI,79.54,few clouds,4.95,-6.0833,
401,Sechura,PE,75.52,scattered clouds,-5.5569,-80.8222,
402,Lompoc,US,65.32,clear sky,34.6391,-120.4579,
403,Mitu,CO,72.32,overcast clouds,1.1983,-70.1733,
404,Pangoa,PE,83.53,broken clouds,-12.1167,-73.0,
405,Viedma,AR,72.05,scattered clouds,-40.8135,-62.9967,
406,Mount Isa,AU,87.57,scattered clouds,-20.7333,139.5,
409,Santa Marta,CO,83.71,broken clouds,11.2408,-74.199,
411,Umm Lajj,SA,76.21,clear sky,25.0213,37.2685,
415,Tucuman,AR,74.1,overcast clouds,-26.8241,-65.2226,
416,Hervey Bay,AU,76.03,scattered clouds,-25.2986,152.8535,
418,Dickinson,US,84.42,broken clouds,29.4608,-95.0513,
419,Sonoita,MX,77.52,broken clouds,31.85,-112.8333,
420,Niamey,NE,81.27,clear sky,13.5137,2.1098,
421,Ternate,ID,78.49,light rain,0.8,127.4,
422,Hambantota,LK,77.76,overcast clouds,6.1241,81.1185,
423,Villa Carlos Paz,AR,76.28,broken clouds,-31.4241,-64.4978,
425,Antalaha,MG,76.39,light rain,-14.9003,50.2788,
427,Rawson,AR,80.55,clear sky,-43.3002,-65.1023,
431,Sao Filipe,CV,75.79,overcast clouds,14.8961,-24.4956,
432,Christchurch,NZ,73.0,few clouds,-43.5333,172.6333,
433,Nokaneng,BW,75.24,overcast clouds,-19.6667,22.2667,
435,Belmonte,BR,77.5,scattered clouds,-15.8631,-38.8828,
436,Gamba,GA,77.85,overcast clouds,-2.65,10.0,
439,Gigmoto,PH,76.42,overcast clouds,13.7796,124.39,
443,Natal,BR,83.05,few clouds,-5.795,-35.2094,
