City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Hermanus,ZA,-34.4187,19.2345,63.9,86,100,18.01,moderate rain
79,East London,ZA,-33.0153,27.9116,68.18,95,100,17.9,light rain
80,Walvis Bay,NA,-22.9575,14.5053,62.1,77,0,12.39,clear sky
81,Kaeo,NZ,-35.1,173.7833,70.32,91,100,9.91,overcast clouds
82,Bethel,US,41.3712,-73.414,46.36,60,82,4.74,broken clouds
83,Hilo,US,19.7297,-155.09,73.27,83,90,3.44,light rain
84,Saint-Joseph,RE,-21.3667,55.6167,77.36,81,22,8.77,few clouds
85,Ilinskoye-Khovanskoye,RU,56.9718,39.7684,18.73,96,100,5.75,overcast clouds
86,Svetlogorsk,BY,52.6333,29.7333,29.53,85,100,9.4,overcast clouds
87,Buraydah,SA,26.326,43.975,58.41,40,2,7.85,clear sky
88,Manono,CD,-7.3,27.4167,73.0,69,12,0.92,few clouds
89,Riyadh,SA,24.6877,46.7219,59.43,28,4,3.76,clear sky
90,Nome,US,64.5011,-165.4064,6.87,78,90,4.61,haze
91,Hasaki,JP,35.7333,140.8333,37.8,60,3,19.35,clear sky
92,Qaanaaq,GL,77.484,-69.3632,0.52,65,70,7.23,broken clouds
93,Leningradskiy,RU,69.3833,178.4167,-17.09,96,95,5.82,overcast clouds
94,Bandundu,CD,-3.3167,17.3667,72.9,95,100,1.5,overcast clouds
95,Dalbandin,PK,28.8947,64.4101,54.68,61,1,6.89,clear sky
96,Tuatapere,NZ,-46.1333,167.6833,54.82,97,100,10.85,light rain
97,Baghdad,IQ,33.3406,44.4009,49.91,50,0,5.75,clear sky
98,Yellowknife,CA,62.456,-114.3525,-24.59,87,30,7.49,scattered clouds
99,Nisia Floresta,BR,-6.0911,-35.2086,83.21,79,57,9.73,broken clouds
100,Carnarvon,AU,-24.8667,113.6333,69.87,94,0,5.75,clear sky
101,Salalah,OM,17.0151,54.0924,73.49,56,0,6.91,clear sky
102,Mocuba,MZ,-16.8392,36.9856,80.69,59,1,7.74,clear sky
103,Buchanan,LR,5.8808,-10.0467,80.56,83,64,9.71,broken clouds
